id,district,sq_mt_built,n_rooms,n_bathrooms,buy_price,buy_price_by_area
21276,Los Ángeles,55.0,2,1,135000,2455
21274,San Andrés,123.0,4,2,220000,1789
21273,Los Rosales,74.0,2,2,198000,2676
21272,Los Ángeles,64.0,2,1,150000,2344
21271,San Andrés,80.0,3,2,160000,2000
21270,Los Rosales,113.0,3,2,359900,3185
21269,San Andrés,89.0,3,2,174000,1955
21268,San Andrés,109.0,3,1,185000,1697
21267,San Andrés,120.0,3,1,180000,1500
21266,San Andrés,101.0,2,2,245000,2426
21265,Villaverde,75.0,2,1,146000,1947
21263,Los Rosales,75.0,3,1,139900,1865
21254,San Andrés,90.0,3,1,159000,1767
21253,San Andrés,100.0,3,2,230000,2300
21248,San Andrés,60.0,2,1,138000,2300
21245,Villaverde,95.0,4,1,138000,1453
21244,Butarque,80.0,2,2,250000,3125
21243,San Andrés,88.0,2,2,304000,3455
21242,San Andrés,67.0,3,1,150000,2239
21241,Los Ángeles,90.0,3,1,208000,2311
21239,Los Rosales,89.0,3,1,139000,1562
21237,Villaverde,94.0,3,1,207000,2202
21236,Villaverde,85.0,2,2,180000,2118
21235,Butarque,68.0,2,1,207000,3044
21234,Los Rosales,105.0,3,2,182260,1736
21233,Los Rosales,85.0,3,1,159000,1871
21231,San Andrés,160.0,2,1,260000,1625
21229,San Andrés,90.0,3,2,172000,1911
21227,Los Rosales,53.0,1,1,144000,2717
21226,Butarque,89.0,3,2,235000,2640
21225,Butarque,119.0,3,2,269000,2261
21223,San Cristóbal,120.0,4,2,173000,1442
21222,Butarque,85.0,3,1,140200,1649
21221,Butarque,110.0,2,2,225000,2045
21220,Los Rosales,116.0,3,2,295000,2543
21219,San Andrés,80.0,3,1,135000,1688
21218,Butarque,115.0,3,2,275000,2391
21217,San Andrés,114.0,4,2,257000,2254
21216,Los Ángeles,95.0,4,1,175000,1842
21215,Butarque,110.0,3,2,274999,2500
21214,San Andrés,70.0,2,1,146750,2096
21213,Butarque,86.0,2,2,218000,2535
21212,Los Rosales,100.0,3,2,285000,2850
21211,Los Rosales,274.0,8,3,495000,1807
21210,San Andrés,124.0,3,2,260000,2097
21207,Villaverde,118.0,3,2,224000,1898
21206,San Andrés,92.0,2,2,154500,1679
21202,Villaverde,89.0,2,2,144801,1627
21201,Los Rosales,92.0,3,1,147000,1598
21197,Villaverde,98.0,3,2,219000,2235
21196,San Andrés,64.0,2,1,149999,2344
21195,Villaverde,98.0,3,2,219000,2235
21192,San Andrés,103.0,3,1,159000,1544
21191,San Andrés,95.0,2,2,154500,1626
21190,Villaverde,78.0,2,1,146800,1882
21189,Los Ángeles,72.0,2,1,139000,1931
21185,San Andrés,90.0,3,1,190000,2111
21182,Los Ángeles,97.0,4,1,149000,1536
21181,Butarque,76.0,3,1,140000,1842
21180,San Andrés,108.0,3,1,143900,1332
